baseline_similarity,mean_shift_similarity,regression_similarity,Sentence1,Sentence2
0.8241582874334611,0.8744315275441674,0.8907157636984149,He planted approximately 30 flowers., He planted several flowers.
0.8128834115472645,0.8652431791800287,0.8857858388314455,He planted approximately 60 flowers., He planted several flowers.
0.8958930092717945,0.9170545301531422,0.9286162005948385,She read at least 90 books last year., She read many books last year.
0.929933248046376,0.9458067513021282,0.9408537325831199,She baked around 140 cupcakes for the sale., She baked a large quantity of cupcakes for the sale.
0.9195388212319611,0.9445332695716503,0.9416328872135702,The library has over 8000 books., The library has a vast collection of books.
0.9057744896084217,0.9404104840906788,0.9469873062679671,There are around 400 apples in the orchard., There are many apples in the orchard.
0.9272460525415269,0.9403945041615103,0.9337808932793151,The garden contains approximately 60 roses., The garden has numerous roses.
0.8720337017011485,0.9278719638202373,0.9350844657375555,He planted approximately 120 trees in the forest., He planted a large number of trees in the forest.
0.8276931907103656,0.8723447820827307,0.8784046019613904,The restaurant served about 1100 customers., The restaurant served many customers.
0.8984297658446826,0.8901900385586642,0.8901179210472916,The student answered 5 questions correctly., The student got most of the questions correct.
0.8258750690127831,0.8741224439704571,0.8946983145286869,I have 22 dogs., I have a very large number of dogs.
0.9185981476158155,0.9183351709200369,0.9300539204730616,He wrote two essays., He wrote a few essays.
0.8663063051370643,0.9079750176120347,0.9169533284403865,The baker sold over 350 loaves of bread., The baker sold a large quantity of bread.
0.8459556894488641,0.8650904990364257,0.8678001019962353,He read at least 50 chapters., He read a substantial portion of the book.
0.780174260450792,0.8184096310707673,0.8416829214666612,Approximately 1100 birds were seen migrating south., A massive flock of birds migrated south.
0.8591576158224994,0.9012682638731323,0.9135530447154041,I have more than 50 cats., I have a large number of cats.
0.8845703182681879,0.8970966299548043,0.9090530156792995,The company hired 75 employees., The company hired many employees.
0.8307435048895022,0.874850751955947,0.895817708071055,I have 24 dogs., I have a very large number of dogs.
0.8660793960094205,0.896349453574775,0.8995262359622886,He wrote around 100 essays., He wrote numerous essays.
0.8643273759965624,0.870941910768579,0.8663315647355971,She drank more than 15 cups of coffee yesterday., She drank an excessive amount of coffee yesterday.
0.8731744383633623,0.9086662542513742,0.9279005401255698,He read over 50 novels., He read many novels.
0.8887705828534396,0.9073457545495557,0.910702983307752,I ate 10 slices of pizza., I ate a large amount of pizza.
0.9596864034101275,0.9545755157805302,0.9350458067016141,I answered at least 50 questions correctly on the exam., I answered a majority of the questions correctly on the exam.
0.8896282450009463,0.9078002039700808,0.899599394479467,I ate more than 40 slices of pizza., I ate a huge amount of pizza.
0.8494676579386895,0.8764635535028282,0.9021290937818499,The scientist conducted 15 experiments., The scientist conducted many experiments.
0.8356234786637875,0.8834797027123124,0.897266098476845,She baked 50 cupcakes., She baked a great many cupcakes.
0.8953145209158864,0.9115117212171696,0.9305234862606848,She read 5 books., She read several books.
0.9261830506787097,0.9392224281112422,0.9335589988987361,The garden contains approximately 110 roses., The garden has numerous roses.
0.8836544787454956,0.9017228256557114,0.9104809019510651,There are more than 500 fish in the tank., The tank is full of fish.
0.8997392602887895,0.8980888185358691,0.9036472440493463,I answered at least 130 questions correctly., I answered almost all the questions correctly.
0.8494572569868833,0.8830131716969454,0.8944929371765183,The library has over 7000 books., The library houses a vast collection of books.
0.9342493437064984,0.9355996325249992,0.9443036025468456,The author wrote 3 chapters., The author wrote several chapters.
0.8751463590426923,0.9106771376520737,0.9283341276959564,He read over 60 novels., He read many novels.
0.830808842147016,0.8738858944180674,0.878409275838535,The restaurant served about 600 customers., The restaurant served many customers.
0.7580319277475422,0.7602781701685379,0.7835094446074715,There were more than 400 people attending the conference., The conference had a large attendance.
0.8620874744773865,0.858349362244178,0.8772180174861895,The team scored 5 goals., The team scored several goals.
0.9138412016271781,0.9326565629134196,0.9337829640184758,I ate over 70 bowls of soup., I ate an enormous amount of soup.
0.7323425295027295,0.775208745727202,0.797611278411885,She collected nearly 180 stamps., She has an extremely extensive stamp collection.
0.871123068602704,0.8864530708711076,0.8893414391462415,He read at least 45 chapters., He read a substantial portion of the book.
0.9030004945084962,0.9073314439604622,0.9131891489257361,She baked three cookies., She baked a couple of cookies.
0.7716431932128336,0.7985029195696809,0.8078543911191747,He wrote close to 30 songs., He has written a large number of songs.
0.8431907680704113,0.8553945378403507,0.8803713887698359,I bought 3 shirts., I bought some new shirts.
0.7988133919088616,0.8577355284264245,0.8722535301151211,He planted approximately 15 flowers in his garden., He planted a few flowers in his garden.
